date_user,depot_user,collection_user,dataset_user,frequent_users_user,user_info_user
2022-05-06,icebase,sportsproducts,sports_returns_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-06 18:45:32.348 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:2767},{user:""shubhanshujain"",last_queried_at:2022-05-06 23:56:45.829 UTC,query_count:275,count_queries_7_days:1671,count_queries_30_days:3154}"
2022-04-22,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-22 18:45:23.764 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1943},{user:""shubhanshujain"",last_queried_at:2022-04-22 23:55:42.539 UTC,query_count:143,count_queries_7_days:1509,count_queries_30_days:4949}"
2022-05-13,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:566,count_queries_30_days:2228},{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:4061}"
2022-05-13,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:1396,count_queries_30_days:2234},{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:2625}"
2022-05-02,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-02 23:55:11.460 UTC,query_count:273,count_queries_7_days:1109,count_queries_30_days:2799},{user:""yogeshkhangode"",last_queried_at:2022-05-02 18:45:57.668 UTC,query_count:1,count_queries_7_days:1097,count_queries_30_days:3448}"
2022-04-29,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-29 23:55:40.895 UTC,query_count:272,count_queries_7_days:1654,count_queries_30_days:4999},{user:""yogeshkhangode"",last_queried_at:2022-04-29 18:45:22.172 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1803}"
2022-04-19,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-04-19 18:45:43.255 UTC,query_count:2,count_queries_7_days:8,count_queries_30_days:3737}"
2022-05-17,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:3184},{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:1920,count_queries_30_days:2219}"
2022-04-29,icebase,sportsproducts,sports_returns_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-29 18:45:22.172 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:2357},{user:""shubhanshujain"",last_queried_at:2022-04-29 23:55:40.895 UTC,query_count:272,count_queries_7_days:1920,count_queries_30_days:5045}"
2022-05-14,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-14 23:56:09.789 UTC,query_count:282,count_queries_7_days:570,count_queries_30_days:596},{user:""yogeshkhangode"",last_queried_at:2022-05-14 18:45:56.413 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:1166}"
2022-05-06,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-06 18:45:32.348 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:4116},{user:""shubhanshujain"",last_queried_at:2022-05-06 23:56:45.829 UTC,query_count:275,count_queries_7_days:1458,count_queries_30_days:2309}"
2022-04-26,icebase,sportsproducts,sports_returns_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-26 18:46:00.751 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:3297},{user:""shubhanshujain"",last_queried_at:2022-04-26 23:58:14.052 UTC,query_count:273,count_queries_7_days:1934,count_queries_30_days:4233}"
2022-04-24,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-24 18:45:56.724 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:2739},{user:""shubhanshujain"",last_queried_at:2022-04-24 23:58:09.968 UTC,query_count:274,count_queries_7_days:1908,count_queries_30_days:5532}"
2022-04-25,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-25 23:57:12.232 UTC,query_count:271,count_queries_7_days:1637,count_queries_30_days:4445},{user:""yogeshkhangode"",last_queried_at:2022-04-25 18:45:58.869 UTC,query_count:2,count_queries_7_days:9,count_queries_30_days:1979}"
2022-04-30,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-30 23:57:43.636 UTC,query_count:274,count_queries_7_days:1902,count_queries_30_days:5259},{user:""yogeshkhangode"",last_queried_at:2022-04-30 18:45:30.253 UTC,query_count:1,count_queries_7_days:1095,count_queries_30_days:6226}"
2022-04-24,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-24 23:58:09.968 UTC,query_count:274,count_queries_7_days:1907,count_queries_30_days:6075},{user:""yogeshkhangode"",last_queried_at:2022-04-24 18:45:56.724 UTC,query_count:1,count_queries_7_days:1363,count_queries_30_days:6500}"
2022-04-23,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-23 23:59:07.101 UTC,query_count:275,count_queries_7_days:1915,count_queries_30_days:6894},{user:""yogeshkhangode"",last_queried_at:2022-04-23 18:45:53.246 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:2213}"
2022-05-16,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-16 18:45:49.304 UTC,query_count:1,count_queries_7_days:1113,count_queries_30_days:6631},{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1741,count_queries_30_days:2189}"
2022-04-29,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-29 18:45:22.172 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:2792},{user:""shubhanshujain"",last_queried_at:2022-04-29 23:55:40.895 UTC,query_count:272,count_queries_7_days:1926,count_queries_30_days:4774}"
2022-04-15,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-04-15 13:06:01.032 UTC,query_count:2,count_queries_7_days:10,count_queries_30_days:1438}"
2022-05-05,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-05 18:45:23.139 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:619},{user:""shubhanshujain"",last_queried_at:2022-05-05 23:58:36.938 UTC,query_count:277,count_queries_7_days:1768,count_queries_30_days:4486}"
2022-05-14,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-14 23:56:09.789 UTC,query_count:282,count_queries_7_days:557,count_queries_30_days:586},{user:""yogeshkhangode"",last_queried_at:2022-05-14 18:45:56.413 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:4028}"
