date_main,depot_main,collection_main,dataset_main,count7_main,count30_main,last_queried_main
2022-05-09,icebase,sportsproducts,sports_returns_data_with_ts,825,6067,2022-05-09 23:54:38.743 UTC
2022-05-09,icebase,sportsproducts,sports_productsubcategories_data_with_ts,282,5683,2022-05-09 23:54:38.743 UTC
2022-05-08,icebase,sportsproducts,sports_salesterritories_data_with_ts,1384,1384,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_transactions_data_with_ts,1663,1663,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_productsubcategories_data_with_ts,980,6533,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_customers_data_with_ts,1946,6715,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_products_data_with_ts,1139,7372,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_returns_data_with_ts,1394,7373,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_productcategories_data_with_ts,838,5942,2022-05-08 23:58:29.210 UTC
2022-05-07,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1491,6457,2022-05-07 23:55:54.678 UTC
2022-05-07,icebase,sportsproducts,sports_customers_data_with_ts,1948,7349,2022-05-07 23:55:54.678 UTC
2022-05-07,icebase,sportsproducts,sports_transactions_data_with_ts,1941,5274,2022-05-07 23:55:54.678 UTC
2022-05-07,icebase,sportsproducts,sports_products_data_with_ts,1914,7331,2022-05-07 23:55:54.678 UTC
2022-05-07,icebase,sportsproducts,sports_productcategories_data_with_ts,1539,6546,2022-05-07 23:55:54.678 UTC
2022-05-07,icebase,sportsproducts,sports_returns_data_with_ts,1681,6268,2022-05-07 23:55:54.678 UTC
2022-05-07,icebase,sportsproducts,sports_salesterritories_data_with_ts,1677,6263,2022-05-07 23:55:54.678 UTC
2022-05-06,icebase,sportsproducts,sports_products_data_with_ts,1953,7360,2022-05-06 23:56:45.829 UTC
2022-05-06,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1679,6274,2022-05-06 23:56:45.829 UTC
2022-05-06,icebase,sportsproducts,sports_salesterritories_data_with_ts,1670,6262,2022-05-06 23:56:45.829 UTC
2022-05-06,icebase,sportsproducts,sports_customers_data_with_ts,1671,6259,2022-05-06 23:56:45.829 UTC
2022-05-06,icebase,sportsproducts,sports_returns_data_with_ts,1227,6456,2022-05-06 23:56:45.829 UTC
2022-05-06,icebase,sportsproducts,sports_transactions_data_with_ts,1753,6453,2022-05-06 23:56:45.829 UTC
